price,rooms,square_meters,floor,max_floor,street,imageurl,Elevator,parking,saferoom,condition,potential,Balcony,airways,balcony_size
₪4670000,3.5,83,1,,סוקולוב ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4690000,4.0,89,1,,ברנר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4700000,3.0,93,4,,זלמן ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4700000,4.0,103,4,,דיזנגוף,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4800000,3.0,91,1,,וילסון ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4800000,3.0,70,0,,טיומקין,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4800000,3.5,98,2,,מסריק ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4790000,3.5,104,1,,אפשטיין  ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4800000,4.5,90,3,,בר כוכבא ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4500000,4.0,110,4,, מסריק ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4900000,4.0,98,4,,דובנוב,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4900000,3.0,96,0,,מנדלי ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4900000,3.5,88,1,,פינסקר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4900000,3.5,102,1,,נחמני ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4950000,3.0,76,4,,עזרא הסופר,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5000000,3.0,96,1,,גורדון ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5000000,3.0,85,1,,בוקי בן יגלי ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5000000,3.0,87,1,,סמאטס ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5000000,4.0,94,4,,ה' באייר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5000000,3.0,85,1,,בצלאל ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5000000,4.0,94,2,,הירקון,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5000000,3.0,78,1,,רות 7,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5000000,3.0,104,0,,טהון ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5050000,4.0,117,0,,נחמני ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5150000,3.0,102,2,,הרמן כהן ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5200000,3.0,100,1,,ויזל ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5250000,3.5,110,3,,לכיש ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5250000,4.0,95,3,,מיכה ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5250000,3.0,82,0,,לואי מרשל ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5300000,3.5,93,4,,"מזא""ה ",https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5300000,3.0,88,5,,מוזיר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5300000,4.0,89,3,,דה האז,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5400000,3.0,99,1,,נחמני ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5400000,4.0,96,4,,בר כוכבא,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5400000,4.0,99,3,,קליי,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5450000,4.0,102,2,,פיארברג ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5470000,3.0,82,4,,עזרא הסופר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5500000,3.5,92,3,,חיסין,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5500000,3.0,97,3,,ארלוזורוב ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5500000,5.0,115,3,,"השל""ה ",https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5550000,4.0,102,1,,זמנהוף,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5550000,3.0,117,2,,לוריא,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5600000,4.0,99,2,,בילטמור ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5600000,4.0,112,1,,אלישיב,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5600000,5.0,102,10,,גינדי ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5600000,4.0,102,3,,זרובבל,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5627000,3.0,80,0,,לואי מרשל,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5700000,3.0,105,2,,רוזנבוים ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5700000,5.0,108,3,,פרישמן ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5800000,4.0,89,2,,דה האז ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5850000,5.0,117,2,,טשרניחובסקי ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪6000000,5.5,119,6,,נמיר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪6000000,4.0,110,5,,אפשטיין  ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
